IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
118.163.128.81,17333,true,KHH,Asia Pacific,Kaohsiung City,85 ms,19986 kB/s
176.119.150.204,2008,true,NRT,Asia Pacific,Tokyo,79 ms,13485 kB/s
45.66.128.216,2001,true,HKG,Asia Pacific,Hong Kong,86 ms,13384 kB/s
35.189.175.230,59793,true,TPE,Asia Pacific,Taipei,103 ms,13135 kB/s
154.17.26.125,33133,true,LAX,North America,Los Angeles,172 ms,10791 kB/s
38.207.174.231,10000,true,HKG,Asia Pacific,Hong Kong,70 ms,10171 kB/s
211.22.240.107,30686,true,KHH,Asia Pacific,Kaohsiung City,83 ms,10053 kB/s
219.240.54.189,10434,true,ICN,Asia Pacific,Seoul,72 ms,9417 kB/s
94.247.142.245,2096,true,SJC,North America,San Jose,174 ms,9241 kB/s
8.222.137.178,2083,true,SIN,Asia Pacific,Singapore,235 ms,9047 kB/s
211.44.160.106,10096,true,ICN,Asia Pacific,Seoul,75 ms,9045 kB/s
47.236.15.73,8443,true,SIN,Asia Pacific,Singapore,232 ms,8983 kB/s
47.236.148.174,2083,true,SIN,Asia Pacific,Singapore,227 ms,8971 kB/s
8.222.240.47,2096,true,SIN,Asia Pacific,Singapore,254 ms,8902 kB/s
8.222.168.24,2083,true,SIN,Asia Pacific,Singapore,237 ms,8899 kB/s
8.219.126.240,2083,true,SIN,Asia Pacific,Singapore,236 ms,8879 kB/s
8.222.211.124,2087,true,HKG,Asia Pacific,Hong Kong,302 ms,8870 kB/s
8.222.221.197,2087,true,SIN,Asia Pacific,Singapore,241 ms,8861 kB/s
8.222.137.166,2083,true,SIN,Asia Pacific,Singapore,227 ms,8841 kB/s
8.222.229.22,2087,true,SIN,Asia Pacific,Singapore,228 ms,8838 kB/s
8.222.167.8,2096,true,SIN,Asia Pacific,Singapore,227 ms,8830 kB/s
8.222.224.162,2087,true,SIN,Asia Pacific,Singapore,241 ms,8759 kB/s
8.219.60.130,2053,true,SIN,Asia Pacific,Singapore,236 ms,8749 kB/s
8.222.184.198,2053,true,SIN,Asia Pacific,Singapore,226 ms,8647 kB/s
47.236.172.41,8443,true,SIN,Asia Pacific,Singapore,224 ms,8622 kB/s
8.222.180.86,2053,true,SIN,Asia Pacific,Singapore,240 ms,8608 kB/s
47.236.104.98,2053,true,SIN,Asia Pacific,Singapore,233 ms,8579 kB/s
8.222.137.178,2053,true,SIN,Asia Pacific,Singapore,239 ms,8548 kB/s
8.222.162.45,2053,true,SIN,Asia Pacific,Singapore,258 ms,8541 kB/s
8.222.154.50,2053,true,SIN,Asia Pacific,Singapore,230 ms,8488 kB/s
47.236.7.246,2053,true,SIN,Asia Pacific,Singapore,242 ms,8465 kB/s
47.236.10.100,2053,true,SIN,Asia Pacific,Singapore,237 ms,8427 kB/s
8.219.139.13,2096,true,SIN,Asia Pacific,Singapore,234 ms,8414 kB/s
47.236.150.109,2087,true,SIN,Asia Pacific,Singapore,227 ms,8393 kB/s
8.222.187.107,2087,true,SIN,Asia Pacific,Singapore,229 ms,8355 kB/s
8.222.182.10,2096,true,HKG,Asia Pacific,Hong Kong,271 ms,8348 kB/s
8.222.146.222,2087,true,SIN,Asia Pacific,Singapore,240 ms,8344 kB/s
8.219.213.84,2087,true,SIN,Asia Pacific,Singapore,242 ms,8333 kB/s
8.222.134.170,2096,true,SIN,Asia Pacific,Singapore,233 ms,8332 kB/s
8.222.130.137,2083,true,SIN,Asia Pacific,Singapore,236 ms,8330 kB/s
8.222.215.228,2096,true,SIN,Asia Pacific,Singapore,228 ms,8311 kB/s
47.236.114.167,2096,true,SIN,Asia Pacific,Singapore,215 ms,8298 kB/s
